character,pinyin,english,hsk
够,gòu,"to reach, to be enough, be enough, enough",4
购物,gòu wù,to go shopping,4
孤单,gū dān,"lone, lonely",4
估计,gū jì,to estimate,4
顾客,gù kè,"client, customer",4
鼓励,gǔ lì,"to encourage, to urge",4
故意,gù yì,"on purpose, deliberately",4
鼓掌,gǔ zhǎng,to applaud,4
挂,guà,to hang (up),4
关键,guān jiàn,"key, crucial point",4
管理,guǎn lǐ,"management, to manage",4
观众,guān zhòng,"audience, spectators",4
逛,guàng,to stroll,4
光,guāng,"light, ray, naked, only, merely",4
广播,guǎng bō,"broadcasting, to broadcast",4
广告,guǎng gào,"advertisement, to advertise",4
规定,guī dìng,"regulations, provision, to fix, to stipulate",4
过程,guò chéng,"process, course",4
国际,guó jì,international,4
果然,guǒ rán,as expected,4
害羞,hài xiū,shy,4
海洋,hǎi yáng,ocean,4
汗,hàn,sweat,4
寒假,hán jià,winter vacation,4
航班,háng bān,"scheduled flight, flight number",4
好处,hǎo chu,"benefit, advantage",4
号码,hào mǎ,number,4
好像,hǎo xiàng,"to seem, to be like, look like",4
合格,hé gé,qualified,4
合适,hé shì,"suitable, appropriate",4
盒子,hé zi,"box, case",4
厚,hòu,"thick, deep",4
后悔,hòu huǐ,"to regret, to repent",4
后来,hòu lái,"afterwards, later",4
猴子,hóu zi,monkey,4
忽然,hū rán,suddenly,4
护士,hù shi,nurse,4
互相,hù xiāng,each other,4
怀疑,huái yí,"doubt, suspicion, to doubt, to suspect",4
回忆,huí yì,"recollection, to recall, to recollect",4
火,huǒ,fire,4
获得,huò dé,"to obtain, to acquire",4
活动,huó dòng,"activity, to move about, active",4
活泼,huó pō,"lively, vivid",4
寄,jì,"to send, to mail",4
基础,jī chǔ,"base, foundation, basis",4
激动,jī dòng,"to excite, exciting",4
集合,jí hé,"congregation, to gather, to assemble",4
计划,jì huà,"plan, project, program, to plan",4
积极,jī jí,"positive, active",4
积累,jī lěi,"accumulation, to accumulate",4
极其,jí qí,extremely,4
既然,jì rán,this being the case,4
及时,jí shí,"in time, without delay",4
即使,jí shǐ,"even if, even thoug",4
技术,jì shù,"technology, skill, technique",4
继续,jì xù,"continuation, to continue, to go on",4
记者,jì zhě,"reporter, journalist",4
假,jiǎ,"fake, false",4
加班,jiā bān,to work overtime,4
价格,jià gé,price,4
家具,jiā jù,furniture,4
加油站,jiā yóu zhàn,gas station,4
坚持,jiān chí,"to stick to, to persist in, to insist on",4
减肥,jiǎn féi,to lose weight,4
减少,jiǎn shǎo,"to reduce, to decrease",4
降低,jiàng dī,"to reduce, to lower",4
奖金,jiǎng jīn,"premium, award money, bonus",4
将来,jiāng lái,"future, in the future",4
交,jiāo,"to hand over, to intersect, to associate with",4
骄傲,jiāo ào,"to be proud of sth., arrogant, conceited",4
交流,jiāo liú,"communication, exchange, to exchange, to communicate",4
教授,jiào shòu,"professor, to instruct, to lecture on",4
交通,jiāo tōng,traffic,4
教育,jiào yù,"educatione, to teach",4
饺子,jiǎo zi,dumpling,4
结果,jié guǒ,"result, outcome, finally, at last",4
解释,jiě shì,"explanation, to explain",4
接受,jiē shòu,"to accept, to receive",4
节约,jié yuē,"to economize, to conserve",4
尽管,jǐn guǎn,"unhesitatingly, in spite of, although, despite",4
进行,jìn xíng,"to be in progress, be underway",4
紧张,jǐn zhāng,"nervous, tense, in short supply",4
禁止,jìn zhǐ,"to prohibit, to forbid, to ban",4
精彩,jīng cǎi,"brilliant, excellent, splendid",4
警察,jǐng chá,police,4
经济,jīng jì,economy,4
京剧,jīng jù,Beijing Opera,4
经历,jīng lì,"experience, to experience",4
竟然,jìng rán,unexpectedly,4
精神,jīng shén,"spirit, mind",4
经验,jīng yàn,"experience, to experience",4
竞争,jìng zhēng,"competition, to compete",4
镜子,jìng zi,mirror,4
究竟,jiū jìng,"after all, actually",4
举办,jǔ bàn,"to hold, to conduct",4
拒绝,jù jué,"to refuse, to decline",4
距离,jù lí,"distance, to be apart from",4
开玩笑,kāi wán xiào,"to play a joke, to make fun of",4
看法,kàn fǎ,"view, opinion",4
考虑,kǎo lǜ,"consideration, to think over, to consider",4
棵,kē,"Measure, for trees, plants, etc.",4
可怜,kě lián,"pitiful, poor, pathetic",4
可是,kě shì,but,4
咳嗽,ké sou,"cough, to cough",4
可惜,kě xī,"it is a pity, what a pity",4
科学,kē xué,"science, scientific",4
肯定,kěn dìng,"to affirm, to confirm, certain, definite, certainly, definitely",4
恐怕,kǒng pà,I'm afraid that,4
空气,kōng qì,"air, atmosphere",4
苦,kǔ,"bitter, miserable",4
宽,kuān,"wide, broad",4
困,kùn,"sleepy, tired",4
困难,kùn nan,"difficulty, problem, difficult",4
扩大,kuò dà,"to expand, to enlarge",4
辣,là,spicy,4
拉,lā,to pull,4
垃圾桶,lā jī tǒng,rubbish bin,4
来不及,lái bu jí,there's not enough time,4
来得及,lái de jí,there is still time to do sth.,4
懒,lǎn,lazy,4
浪费,làng fèi,to waste,4
浪漫,làng màn,romantic,4
老虎,lǎo hǔ,tiger,4
冷静,lěng jìng,"calm, cool-headed, quite",4
理发,lǐ fà,to have a haircut,4
厉害,lì hai,"awesome, terrible, strict, severe, difficult to deal with",4
理解,lǐ jiě,"comprehension, understanding, to comprehend, to understand",4
礼貌,lǐ mào,"politeness, courtesy",4
力气,lì qi,strength,4
例如,lì rú,for example,4
理想,lǐ xiǎng,"ideal, dream",4
俩,liǎ,two (people),4
连,lián,"to link, to join, to connect, even",4
联系,lián xì,"contact, connection, to contact",4
亮,liàng,"to shine, to show, to reveal, bright, clear, shiny",4
凉快,liáng kuai,pleasantly cool,4
聊天,liáo tiān,to chat,4
另外,lìng wài,"in addition, morover, furthermore",4
留,liú,"to keep, to remain, to stay, to leave (a message, etc.)",4
流泪,liú lèi,to shed tears,4
流利,liú lì,fluent,4
流行,liú xíng,"to spread, popular, fashionable",4
留学,liú xué,to study abroad,4
律师,lǜ shī,lawyer,4
乱,luàn,"disorder, to cause disorder, in a mess, confused",4
麻烦,má fan,"to trouble sb., troublesome",4
马虎,mǎ hu,"careless, negligent, casual",4
满,mǎn,"to fill, to satisfy, full, satisfied",4
毛巾,máo jīn,towel,4
美丽,měi lì,beautiful,4
梦,mèng,dream,4
密码,mì mǎ,password,4
免费,miǎn fèi,free (of charge),4
民族,mín zú,"nationality, ethnic group",4
目的,mù dì,"purpose, aim",4
母亲,mǔ qīn,mother,4
耐心,nài xīn,"patience, patient",4
难道,nán dào,"don't tell me ..., is it possible that ...",4
难受,nán shòu,to be difficult to bear,4
内,nèi,"inside, inner",4
内容,nèi róng,"content, substance",4
能力,néng lì,"ability, capability",4
年龄,nián líng,age (of a person),4
弄,nòng,"to do, to make",4
农村,nóng cūn,"village, rural area",4
暖和,nuǎn huo,warm,4
偶尔,ǒu ěr,occasionally,4
排列,pái liè,"arrangement, permutation , to arrange, to put in order",4
判断,pàn duàn,"decision, judgement, to decide, to judge",4
陪,péi,to accompany,4
皮肤,pí fū,skin,4
批评,pī píng,"criticism, to criticize",4
脾气,pí qi,"temperament, temper",4
骗,piàn,"to cheat, to swindle",4
篇,piān,"Measure, for chapters, articles, etc.",4
乒乓球,pīng pāng qiú,table tennis,4
平时,píng shí,"in peacetime, normally",4
瓶子,píng zi,bottle,4
破,pò,"to break, to destroy, broken, damaged",4
普遍,pǔ biàn,"universal, general",4
其次,qí cì,"next, secondary, secondly",4
起飞,qǐ fēi,to take off,4
气候,qì hòu,"climate, atmosphere",4
起来,qǐ lái,"to stand up, to get up",4
其中,qí zhōng,"among, in",4
千万,qiān wàn,"10 million, countless, many, must, be sure to",4
签证,qiān zhèng,visa,4
墙,qiáng,wall,4
桥,qiáo,bridge,4
敲,qiāo,to knock,4
巧克力,qiǎo kè lì,chocolate,4
亲戚,qīn qi,relatives,4
轻,qīng,"light, small in number, unimportant",4
请假,qǐng jià,to ask for leave,4
请客,qǐng kè,to invite sb. for dinner,4
情况,qíng kuàng,"circumstance, situation",4
轻松,qīng sōng,"relaxed, easy",4
穷,qióng,poor,4
取,qǔ,"to take, to get",4
区别,qū bié,"difference, to distinguish",4
全部,quán bù,"whole, entire, complete",4
却,què,"but, yet",4
缺点,quē diǎn,"weakness, shortcoming",4
缺少,quē shǎo,"lack, shortage, to lack, to be short of",4
确实,què shí,"indeed, really, for sure, indeed",4
群,qún,"Measure, for group, crowd, etc.",4
然而,rán ér,"however, but",4
热闹,rè nao,"lively, busy",4
任何,rèn hé,"any, whichever, whatever",4
人民币,rén mín bì,"RMB, Chinese Yuan",4
任务,rèn wu,"mission, task",4
扔,rēng,to throw (away),4
仍然,réng rán,"still, yet",4
日记,rì jì,diary,4
入口,rù kǒu,entrance,4
软,ruǎn,soft,4
散步,sàn bù,to take/to go for a walk,4
森林,sēn lín,forest,4
沙发,shā fā,sofa,4
商量,shāng liang,"to consult, to discuss",4
伤心,shāng xīn,"sad, grievous, brokenhearted",4
稍微,shāo wēi,a little bit,4
社会,shè huì,society,4
深,shēn,"deep, dark (color, etc.)",4
申请,shēn qǐng,"application, to apply for",4
甚至,shèn zhì,even,4
剩,shèng,to remain,4
省,shěng,"province, to save, to omit",4
生活,shēng huó,"lif, to live",4
生命,shēng mìng,life,4
试,shì,"experiment, examination, test, to test, to attempt",4
失败,shī bài,"defeat, failure, to lose, to be defeated",4
市场,shì chǎng,market,4
十分,shí fēn,"very, completely, fully, utterly, absolutely",4
师傅,shī fu,"master, teacher, used to respectfully address older men",4
适合,shì hé,"to fit, to suit",4
实际,shí jì,"reality, practice, realistic, practical",4
世纪,shì jì,century,4
食品,shí pǐn,food,4
湿润,shī rùn,"moist, humid",4
失望,shī wàng,"disappointment, to lose hope, disappointed",4
适应,shì yìng,"to fit, to suit, to adabt",4
使用,shǐ yòng,to use,4
实在,shí zài,"real, true, really, in fact",4
狮子,shī zi,lion,4
收,shōu,"to accept, to receive",4
受不了,shòu bù liǎo,unbearable,4
受到,shòu dào,"to receive, to suffer",4
首都,shǒu dū,capital city,4
售货员,shòu huò yuán,salesperson,4
收入,shōu rù,"income, revenue, to take in",4
收拾,shōu shi,"to put in order, to tidy up, to punish",4
首先,shǒu xiān,first of all,4
输,shū,"to transport, to lose, to be beaten",4
数量,shù liàng,"amount, quantity",4
熟悉,shú xī,to be familiar with,4
数字,shù zì,"figure, number",4
帅,shuài,"handsome, smart (for men)",4
顺便,shùn biàn,"on the way, in passing by",4
顺利,shùn lì,smoothly,4
顺序,shùn xù,"sequence, order",4
说明,shuō míng,"explanation, illustration, to explain, to illustrate",4
硕士,shuò shì,master's degree,4
死,sǐ,"death, to die, dead",4
速度,sù dù,speed,4
塑料袋,sù liào dài,plastic bag,4
算,suàn,to calculate,4
酸,suān,sour,4
随便,suí biàn,"random, as one wishes",4
随着,suí zhe,"along with, in the wake of",4
孙子,sūn zi,grandson,4
所有,suǒ yǒu,"to possess, to own, all",4
台,tái,"desk, platform Measure, for vehicles, machinese, etc.",4
抬,tái,"to lift up, to raise, to carry",4
态度,tài du,"manner, attitude",4
谈,tán,to talk,4
弹钢琴,tán gāng qín,to play the piano,4
趟,tàng,"Measure, for number of trips or runs made",4
躺,tǎng,"to lie (down), to recline",4
汤,tāng,soup,4
讨论,tǎo lùn,"discussion, to discuss",4
讨厌,tǎo yàn,"to hate , disgusting, nasty",4
特点,tè diǎn,characteristic feature,4
提供,tí gōng,"to offer, to supply, to provide",4
提前,tí qián,"to bring forward, to advance",4
提醒,tí xǐng,"to remind, to call attention to",4
填空,tián kòng,"to fill in (questionnaire, etc.)",4
条件,tiáo jiàn,"condition, circumstances",4
挺,tǐng,"to stick out, to stand straight, quite, very, rather Measure, for machine guns",4
停止,tíng zhǐ,"to stop, to halt",4
通过,tōng guò,"to pass through, to get through, via, by",4
同情,tóng qíng,"sympathy, compassion, to sympathize",4
通知,tōng zhī,"notice, to notify, to inform",4
推,tuī,to push,4
推迟,tuī chí,"to postpone, to defer",4
脱,tuō,"to take off, to shed",4
袜子,wà zi,"socks, stockings",4
完全,wán quán,"complete, whole, entire",4
往,wǎng,"to go, towards, to",4
网球,wǎng qiú,tennis,4
往往,wǎng wǎng,often,4
网站,wǎng zhàn,website,4
味道,wèi dào,"taste, flavour",4
危险,wēi xiǎn,"danger, dangerous",4
温度,wēn dù,temperature,4
文章,wén zhāng,"article, essay",4
握手,wò shǒu,to shake hands,4
无,wú,not,4
误会,wù huì,"misunderstanding, to misunderstand",4
无聊,wú liáo,"boring, bored",4
无论,wú lùn,no matter how/what,4
污染,wū rǎn,"pollution, contamination, to pollute, to contaminate",4
西红柿,xī hóng shì,tomato,4
洗衣机,xǐ yī jī,washing machine,4
吸引,xī yǐn,"to attract (interest, customers, etc.)",4
咸,xián,salty,4
现代,xiàn dài,"modern times, the contemporary age",4
羡慕,xiàn mù,"to envy, to admire",4
限制,xiàn zhì,"restriction, limit, to restrict, to limit",4
响,xiǎng,"sound, noise, to make a sound, loud, noisy",4
香,xiāng,fragrang,4
相反,xiāng fǎn,"opposite, contrary",4
详细,xiáng xì,detailed,4
效果,xiào guǒ,"effect, result",4
笑话,xiào hua,joke,4
小说,xiǎo shuō,"novel, fiction",4
消息,xiāo xi,"news, information",4
辛苦,xīn kǔ,"hard, toilsome",4
心情,xīn qíng,"mood, state of mind",4
信任,xìn rèn,"trust, to trust",4
信心,xìn xīn,"confidence, faith",4
信用卡,xìn yòng kǎ,credit card,4
行,xíng,"to walk, to go, capable, competent, OK",4
醒,xǐng,to wake up,4
性别,xìng bié,"gender, sex",4
兴奋,xīng fèn,"excitement, excited",4
幸福,xìng fú,"happiness, happy",4
性格,xìng gé,"nature, temperament, character",4
修,xiū,"to mend, to repair",4
许多,xǔ duō,"many, a lot of",4
血,xuè,blood,4
呀,ya,expressing surprise or doubt,4
牙膏,yá gāo,toothpaste,4
压力,yā lì,preassure,4
亚洲,Yà zhōu,Asia,4
盐,yán,salt,4
演出,yǎn chū,"performance, show, to perform, to put ona show",4
严格,yán gé,"strict, rigorous",4
研究生,yán jiū shēng,"graduate, postgraduate or research student",4
演员,yǎn yuán,"performer, actor",4
严重,yán zhòng,"grave, serious, critical",4
养成,yǎng chéng,"to cultivate, to form, to acquire",4
阳光,yáng guāng,sunshine,4
样子,yàng zi,"appearance, manner",4
邀请,yāo qǐng,"invitation, to invite",4
钥匙,yào shi,key,4
页,yè,"page, leaf Measure, for a page",4
也许,yě xǔ,"perhaps, maybe",4
叶子,yè zi,leaf,4
亿,yì,100 million,4
以,yǐ,"because of, so as to, in order to",4
意见,yì jiàn,"opinion, view, objection",4
一切,yí qiè,"all, everything",4
艺术,yì shù,art,4
因此,yīn cǐ,"thus, consequently",4
饮料,yǐn liào,"drink, beverage",4
引起,yǐn qǐ,"to give rise to, to lead to",4
印象,yìn xiàng,impression,4
赢,yíng,"to win, to beat",4
硬,yìng,"hard, stiff, firm",4
勇敢,yǒng gǎn,"brave, courageous",4
永远,yǒng yuǎn,"forever, ever",4
由,yóu,"due to, because of, by, from",4
优点,yōu diǎn,"merit, advantage, strong point",4
友好,yǒu hǎo,friendly,4
幽默,yōu mò,"humor, humorous",4
尤其,yóu qí,"especially, particularly",4
有趣,yǒu qù,interesting,4
优秀,yōu xiù,"outstanding, excellent",4
友谊,yǒu yì,friendship,4
由于,yóu yú,"due to, because of",4
与,yǔ,"and, with",4
语法,yǔ fǎ,grammar,4
愉快,yú kuài,"happy, cheerful",4
羽毛球,yǔ máo qiú,badminton,4
于是,yú shì,"as a result, consequently",4
预习,yù xí,to prepare for (a lesson),4
语言,yǔ yán,language,4
圆,yuán,"circle, circular, round",4
原来,yuán lái,"former, original, as it turns out",4
原谅,yuán liàng,"to excuse, to forgive",4
原因,yuán yīn,"reason, cause",4
阅读,yuè dú,"reading, to read",4
约会,yuē huì,"appointment, engagement, date",4
允许,yǔn xǔ,"to permit, to allow",4
杂志,zá zhì,magazine,4
咱们,zán men,"we, us",4
暂时,zàn shí,temporary,4
脏,zāng,dirty,4
责任,zé rèn,"duty, responsibility",4
增加,zēng jiā,"to increase, to raise",4
增长,zēng zhǎng,"increase, growth, to increase, to grow",4
窄,zhǎi,narrow,4
招聘,zhāo pìn,"recruitment, job advertisement, to recruit",4
真正,zhēn zhèng,"genuine, real, true",4
正常,zhèng cháng,"regular, normal, ordinary",4
正好,zhèng hǎo,"just right, just at the right time",4
整理,zhěng lǐ,"to arrange, to tidy up",4
证明,zhèng míng,"proof, certificate, testimonial, to prove, to testify",4
整齐,zhěng qí,"neat, tidy, in good order",4
正确,zhèng què,"correct, proper",4
正式,zhèng shì,"formal, official",4
指,zhǐ,"finger, to point at or to, to indicate",4
之,zhī,"I, he, she it, ..., similar to 的",4
支持,zhī chí,"support, backing, to support, to back",4
值得,zhí dé,"to be worth, to deserve",4
只好,zhǐ hǎo,have to,4
直接,zhí jiē,"direct, immediate",4
质量,zhì liàng,quality,4
至少,zhì shǎo,at least,4
知识,zhī shi,knowledge,4
植物,zhí wù,plant,4
只要,zhǐ yào,"if only, as long as",4
职业,zhí yè,"occupation, profession",4
制造,zhì zào,"to make, to manufacture",4
重点,zhòng diǎn,"emphasis, focal point, priority",4
重视,zhòng shì,"to value, to attach importance to",4
中文,Zhōng wén,Chinese language,4
周围,zhōu wéi,"surroundings, environment, around, about",4
猪,zhū,pig,4
主动,zhǔ dòng,"to take the initiative, active",4
祝贺,zhù hè,"congratulations, to congratulate",4
逐渐,zhú jiàn,gradually,4
著名,zhù míng,"famous, well-known",4
主意,zhǔ yi,"idea, plan, decision",4
赚,zhuàn,"to earn, to make a profit",4
专门,zhuān mén,"special, specialized, specialized",4
